Zip,Median,Mean,Pop
8070,58771.4646,67219.244,12938
8071,67160.1847,80539.6815,9829
8075,72604.2625,81905.0049,26374
8077,91737.0616,104682.693,17370
8078,53352.925,65489.5543,8396
8079,46613.0467,58254,12016
8080,84764.4461,99251.5436,36440
8081,76310.7706,83234.2765,43747
8083,70544.3416,78387.4452,9684
8084,63028.1128,76993.5158,7271
8085,89415.757,96677.3592,10848
8086,69372.5705,81488.4032,6657
8087,57869.718,69345.9528,20242
8088,85362.1652,97782.6791,24310
8089,73344.7746,81837.7153,4164
8090,82200.243,92394.5388,8400
8091,61029,68694,5288
8092,53401.1258,71773.6559,3016
8093,52932.9917,64430.5162,10057
8094,67379.3216,78323.1858,32776
8096,65623.0359,75813.256,32649
8097,81310.7145,89760.4551,3305
8098,76446.6257,89735.6143,8325
8102,23718.6332,36474.1096,9865
8103,27980.1231,36665.5825,15898
8104,24630.6285,31638.2756,24308
8105,31895.5416,43536.524,28164
8106,68550.9436,76713.7053,10308
8107,53206.1023,63622.237,13515
8108,71670.7664,84889.7549,18542
8109,62258.4384,77380.1582,22787
8110,51598.5084,62313.4859,18513
8201,65434.5195,75708.6824,9167
8202,87552.4792,191900.4634,2235
8203,65512.7348,79876.4925,12595
8204,53551.4069,67520.7487,19449
8205,68364.6965,81064.133,23816
8210,66351.3515,77157.9997,15100
8215,59051.7967,68615.682,12495
8221,81558.8829,129865.0711,7187
8223,74324.721,91695.588,4203
8225,72079.4783,84088.4664,7756
8226,57881.0153,81718.9585,15376
8230,79584.0146,94637.4007,5704
8232,40571.3884,52552.8261,17964
8234,67705.3394,79002.7604,30072
8241,63942,81598,1034
8242,49817.1589,57697.5752,2918
8243,54715,90686,2836
8244,48775.1647,61421.7201,11666
8247,68989.2407,109128.9671,1205
8251,42215.8913,54097.8896,9718
8260,41338.2678,61514.5777,15343
8270,66842.1452,71397.6084,8337
8302,38305.1555,47216.338,36458
8310,56159.7656,63331.6516,1650
8311,70353.8909,74071.8515,1859
8312,70299,77241,6966
8317,61932,71608,1274
8318,73631.0865,81098.1288,12227
8319,61932,71608,1125
8322,72934.3937,97976.171,9594
8326,53071.8944,61421.3584,1447
8328,67279,72585,1417
8330,61837.028,71404.7869,21735
8332,42668.3533,54039.9198,30056
8340,39519.5968,44163.3632,642
8341,53060,61414,1826
8343,69459.5027,85260.9328,4189
8344,64029.9405,72145.8845,6378
8345,46092.8944,51303.3304,763
8346,57308,64042,809
8349,11126.975,12422.3762,618
8350,57308,64042,804
8353,62472,69058,534
8360,49040.4343,58916.726,40552
8361,69301.0022,86292.1126,15613
8401,31111.8022,45902.1299,40509
8402,70307.4878,101068.5066,8194
8403,92697,150277,1156
8406,51787.8229,78667.5019,12919
8501,105793.067,117679.6952,4655
8502,145173.56,182175.3568,9232
8505,78970.6839,88844.7259,14208
8510,127951.5952,154349.3264,4276
8511,80916.0414,89461.772,714
8512,95747.2956,120241.3276,10305
8514,101253.6935,116450.1184,3449
8515,138128.5,66280.608,5176
8518,69700.8927,77575.2764,4932
8520,83114.9208,96698.1316,24468
8525,127303.3412,152700.8588,4900
8527,85066.916,96562.4368,42446
8528,110816.1075,124892.7495,191
8530,86772.2446,116143.7166,7302
8533,74894.276,86070.6384,6080
8534,129261.6481,158332.267,11628
8535,130572.0823,154495.9973,4713
8536,88644.2332,108124.0644,17773
8540,111141.6449,164578.5899,42391
8542,89692.5476,120618.462,3952
8550,153681.0624,197536.3638,17673
8551,106841.4328,132758.5691,5283
8553,88929,111036,643
8554,77705.753,83634.1232,3648
8558,159930.9601,217800.5378,5312
8559,86891.294,114764.2593,4984
8560,107244.9022,145502.6348,3438
8562,67329.0657,77810.4707,6499
8608,22445.5096,37683.9712,976
8609,37655.7296,49264.2951,15001
8610,47801.2564,56138.0654,22846
8611,35859.5935,46641.045,23398
8618,47842.4953,57904.8479,40562
8619,75409.5742,87361.3689,22638
8620,98798.6754,89829.4417,12072
8628,78489.968,88712.0413,9321
8629,52331.0764,60052.2359,11152
8638,51444.923,60625.0211,23119
8640,91284.4888,97297.976,7390
8641,53183.0962,61192.5989,5116
8648,89944.8461,111477.0019,27765
8690,87045.2169,96331.3519,18645
8691,96593.807,117093.0643,11321
8701,40747.4686,56240.4304,60357
8721,71737.3188,83127.5233,17223
8722,78526.7938,84591.9671,10379
8723,62115.9244,78540.6803,31870
8724,68006.5885,83868.8551,42959
8730,98419,116691,4907
8731,68983.4124,83768.4964,18563
8733,62184.3015,69929.2155,2962
8734,81392.9832,95605.8248,6792
8735,60036.5863,79982.5202,4450
8736,97818.5386,131786.2028,12834
8738,81194.0767,152838.2148,1354
8741,75058.15,86598.075,2354
8742,73736.8637,94523.8477,26261
8750,93854.4412,129434.8944,3912
8751,48023.6272,64360.6568,4909
8752,40142.817,54243.702,2926
8753,76928.5925,89420.7361,63441
8755,67317.3721,85608.2805,23050
8757,41884.2961,48473.8872,33364
8758,74736,90251,5123
8759,37304.8789,47744.2607,30272
8801,122568.7585,156041.4375,8160
8802,106882.1675,124860.7139,3691
8804,108061.3003,121721.8532,2479
8805,71287.0192,81488.7052,12106
8807,111761.9805,126717.8082,36568
8809,97897.964,126432.9088,6647
8810,103741.2937,122023.5202,7187
8812,92129.8241,111580.6895,12354
8816,101522.8288,117472.8045,45528
8817,82959.0529,91866.5916,45329
8820,111083.8024,134136.6856,37546
8822,105613.7932,128236.7423,28367
8823,97261.1932,108345.7876,7297
8824,106728.7384,119283.4449,11930
8825,91719.2241,97844.5292,4828
8826,88977.8232,113185.8887,5500
8827,96160.5645,113775.8748,4964
8828,80690,90184,1825
8829,90354.5296,104308.3952,3824
8830,84220.5248,92467.7876,16447
8831,76536.4472,93922.2163,34468
8832,55683.9135,63602.3588,2468
8833,83115.3164,103919.2845,6067
8835,54981.5752,69680.2776,10342
8836,135970.8596,161286.4078,3710
8837,65787.0811,88086.6954,14851
8840,97755.8209,117533.1231,15703
8844,110491.5203,124303.8392,36729
8846,77107.1056,89657.6112,13720
8848,94075.4987,112501.5534,8109
8850,92839.4971,101876.2873,8333
8852,93959.1149,107606.5742,14018
8853,128874.0024,146128.4308,4953
8854,88164.536,98219.9858,50474
8857,88136.9025,99152.3663,36503
8859,69460.6825,83200.0923,20939
8861,47618.9347,58843.3274,50026
8863,78784.3874,84206.5602,12056
8865,59278.1584,68864.7298,28974
8867,104601.898,124234.8547,4453
8869,70096.6768,89453.548,6339
8872,80293.0419,88781.2524,18283
8873,85950.3425,99431.3908,41649
8876,83108.6699,95276.0543,19692
8879,65162.0609,76378.237,21054
8880,78427,89867,4398
8882,65929.9935,77279.9654,15322
8884,68217.6884,78861.983,7882
8886,99069.5138,113550.3412,4843
8887,96583,131306,1097
8889,123666.2172,146325.3495,9341
8901,44192.9491,57250.2452,48689
8902,79335.1761,90785.5797,36562
8904,75938.4117,97887.819,13997
